Target,TemperatureC,DewpointC,Humidity,HourlyPrecipMM
0,9.8,7.4,85,0
0,9.8,7.4,85,0
0,9.8,7.4,85,0
0,9.8,7.6,86,0
0,9.8,7.6,86,0
0,9.8,7.6,86,0
0,9.7,7.5,86,0
0,9.7,7.3,85,0
0,9.7,7.3,85,0
0,9.7,7.1,84,0
0,9.7,7.2,84,0
0,9.8,7.2,84,0
0,10.1,7.1,82,0
0,10.1,7.1,82,0
0,10.1,7.2,82,0
0,10.1,7.2,82,0
0,10.1,7,81,0
0,10.1,6.9,81,0
0,10.1,7.1,82,0
0,10,7.1,82,0
0,10,7.1,82,0
0,9.9,7,82,0
2,10,7.2,83,0.3
2,10.1,7.5,84,0.3
2,10.2,7.6,84,0.5
2,10.1,7.6,84,0.5
2,9.9,7.7,86,0.5
2,9.8,7.7,87,0.5
2,9.7,7.8,88,0.8
2,9.6,7.9,89,0.8
2,9.6,7.8,89,1
2,9.6,8,90,1
2,9.6,8,90,1
2,9.7,8.1,90,0.8
2,10.4,8.9,90,1.3
2,10.5,8.9,90,1.3
2,10.5,8.9,90,1
2,10.6,9.1,90,1
1,12.3,9.9,85,0.3
1,12.4,10.1,86,0.3
1,12.5,10.2,86,0.3
1,13,10.9,87,0.3
1,13.1,10.9,87,0.3
1,13.1,11,87,0.3
1,13.3,11.2,87,0.3
1,13.3,11.1,86,0.3
1,13.4,11.3,87,0.3
0,13.5,11.2,86,0
0,13.5,11.2,86,0
0,13.3,11.4,88,0
0,13.1,11.5,90,0
1,12.9,11.4,91,0.3
1,13,11.6,91,0.3
1,13,11.6,91,0.3
1,13,11.6,91,0.3
1,13.1,11.8,92,0.3
1,13.1,11.8,92,0.3
1,13.1,11.8,92,0.3
1,13.9,13,94,0.3
1,14,13.1,94,0.3
1,14.1,13.1,94,0.3
1,14.3,13.2,93,0.3
1,14.4,12.9,91,0.3
0,14.6,12.9,90,0
0,14.6,12.8,89,0
0,14.6,12.8,89,0
0,14.6,12.7,88,0
0,14.6,12.6,88,0
2,12.9,10.9,88,0.3
2,12.4,10.5,88,0.3
2,11.9,10.2,89,0.3
2,11.7,10.1,90,0.5
2,11.4,9.8,90,0.5
2,11.4,9.5,88,0.5
2,11.4,9.1,86,0.5
2,11.2,8.4,83,0.5
2,11,8.4,84,0.5
2,10.9,8.1,83,0.3
0,9.8,7.1,83,0
0,9.2,6.5,83,0
0,8.3,5.3,81,0
0,7.9,4.9,81,0
3,7.8,4.9,82,0.3
3,7.4,4.7,83,0.3
3,7.4,3.7,77,0.3
3,7.1,3.7,79,0.3
3,6.9,3.5,79,0.3
3,6.6,3.2,79,0.3
3,5.4,2.4,81,0
3,5.2,2.4,82,0
3,5.1,2.3,82,0
3,4.8,2.3,84,0
3,4.8,2.5,85,0
3,4.6,2.6,87,0.3
3,4.3,2.3,87,0.3
3,4.2,2.3,88,0.3
3,4.2,2.2,87,0.3
3,4.2,2.2,87,0.3
3,4.5,2.3,86,0
3,4.4,2.3,86,0
3,4.3,2.1,85,0
3,4.3,2,85,0.3
3,3.9,2,87,0.3
3,3.8,1.8,87,0.3
3,3.7,1.9,88,0.3
3,3.9,2,87,0.3
3,7.2,2.4,72,0
3,6.7,2.9,77,0
3,6.4,2.7,77,0
3,5.9,2.4,78,0
3,5.8,3.1,83,0
3,6,2.4,78,0
3,6.2,2.8,79,0
3,6,4.2,88,0.8
3,5.9,4.3,89,0.8
3,5.9,4.2,89,1
3,5.9,4.2,89,0.8
3,5.7,4.2,90,0.8
3,1.3,0.6,95,0.3
3,1.4,0.7,95,0.3
3,1.7,0.9,95,0.3
3,1.8,1.1,95,0.3
3,1.9,1.2,95,0.3
3,2.1,1.4,95,0.3
3,2.2,1.4,95,0.3
3,2.2,1.4,95,0
3,2.1,1.3,95,0
3,2.1,1.2,94,0
3,1.9,1,94,0
3,1.6,0.7,94,0
3,1.7,0.9,95,0
3,2.6,2.1,96,0
2,10.7,9.5,92,0.3
2,10.9,9.7,92,0.3
2,10.8,9.6,92,0.3
2,10.5,9.7,95,0.3
2,10.4,9.5,94,0.3
2,8.1,6,87,1
2,8.1,6.2,88,1
2,8.1,6.1,87,1.3
2,8.1,6.2,88,1.3
2,8.2,6.3,88,1.5
2,8.3,6.4,88,1.5
2,8.4,6.6,88,1
2,8.5,6.6,88,0.8
2,8.8,7.1,89,0.5
2,8.8,7.1,89,0.8
2,8.8,7.1,89,0.8
2,8.8,7.2,90,1.5
2,8.9,7.3,90,1.5
2,9,7.4,90,1.3
2,9.1,7.6,90,1
2,9.2,7.4,89,0.8
2,9.3,7.6,89,0.8
2,9.3,7.8,90,0.3
2,9.5,7.8,89,0.3
2,7.1,5.1,87,0.5
2,7.3,5.2,86,0.8
2,7.4,5.2,86,0.8
2,7.4,5.2,86,0.5
2,7.6,5.4,86,0.5
2,8.1,5.9,86,0.3
0,10.8,5.2,68,0
0,10.3,4.3,66,0
0,9.8,4.3,69,0
0,9.7,4.7,71,0
0,9.6,4.8,72,0
0,9.5,4.9,73,0
0,9.4,4.8,73,0
0,9.3,4.9,74,0
0,9.1,4.9,75,0
0,9,4.4,73,0
0,8.7,4.7,76,0
0,8.6,4.6,76,0
0,8.2,4.6,78,0
0,8.2,5,80,0
2,8.2,5.4,83,0.3
2,7.9,5.5,85,0.5
2,8.3,7.3,93,1.5
2,9.1,8.2,94,1
2,9.3,8.4,94,1.3
2,9.6,8.7,94,1.3
2,9.8,8.8,94,1.3
2,10,9.1,94,1
2,10.8,9.8,94,1
2,12.5,11.7,95,0.8
1,13.2,12.2,94,0.5
1,13.8,12.5,92,0.5
1,14.4,12.6,89,0.3
1,14.5,12.6,88,0.3
0,14.6,12.6,88,0
0,14.5,12.3,87,0
0,14.4,12.3,87,0
0,14.4,12.3,87,0
0,14.2,12.3,88,0
0,14.3,12.3,88,0
0,14,12.2,89,0
0,13.9,12.2,89,0
0,14,12.2,89,0
0,14.2,12.1,87,0
0,13.8,12.1,89,0
0,13.5,12.1,91,0
0,13.3,12,92,0
0,13.5,11.7,89,0
1,13.9,11.6,86,0.3
1,13.9,11.6,86,0.3
1,14,11.7,86,0.3
1,14.2,11.6,84,0.3
0,14.2,11.6,84,0
1,13.1,11.5,90,1.5
2,11.2,9.3,88,2.3
2,10.7,8.8,88,2.3
2,10.3,8.4,88,2.5
2,10.2,8.3,88,2.5
2,10.1,8.2,88,2.8
2,10.1,8.2,88,2.8
2,10.1,8.2,88,2.8
2,10.1,8,87,2.8
2,9.9,7.7,86,2.8
2,9.7,7.5,86,3
2,9.6,6.8,83,3
2,9.6,6.8,83,3
2,9.5,6.6,82,2.5
2,8.9,6,82,0.5
2,8.8,5.2,78,0.3
2,6.6,3.2,79,0.3
2,6.1,1.8,74,0.5
2,4.9,1.7,80,0.3
2,4.8,0.9,76,0.3
2,9.1,6.7,85,1.3
2,9.2,6.9,86,1.3
2,9.1,6.9,86,1
2,9.1,6.9,86,1
2,9.1,7.1,87,1
3,1.9,-0.5,84,0
3,1.8,-0.6,84,0
3,1.7,-0.7,84,0
3,1.5,-0.7,85,0
3,1.4,-0.7,86,0
3,1.3,-0.8,86,0
3,1.3,-0.8,86,0
3,1.3,-0.8,86,0
3,1.2,-0.9,86,0
3,0.7,-1.1,88,0
3,0.7,-1.1,88,0
3,0.8,-1,88,0
3,1.1,-0.7,88,0
3,1.1,-0.7,88,0
3,1.4,-0.7,86,0
3,0.9,-0.9,88,0
3,0.9,-0.9,88,0
3,0.9,-0.9,88,0
3,0.9,-0.9,88,0
3,0.8,-0.9,88,0
3,5.4,3.1,85,0.3
3,4.8,3,88,0.5
3,4.6,2.8,88,0.5
3,3.4,1.9,90,1.8
3,3.4,1.9,90,1.8
3,3.3,1.8,90,2
3,3.1,1.7,91,2.3
3,3,1.7,91,2.3
3,3.1,1.9,92,2.3
3,3.3,2,91,1.5
3,3.2,1.8,91,1.3
3,3.2,1.7,90,0.8
3,3.6,1.8,88,0.5
3,3.9,1.9,87,0.3
3,-0.1,-2.1,86,0
3,-0.3,-2.2,87,0
3,-0.3,-2,88,0
3,-0.3,-2.1,88,0
3,-1.3,-3.2,87,0
3,-1.2,-3.1,87,0
3,-1.1,-3,87,0
3,-1.1,-3.1,86,0
3,-0.8,-2.9,86,0
3,-0.6,-1.7,92,0
3,-0.4,-2.6,85,0
3,4.1,2.9,92,0.8
3,4.1,2.9,92,0.8
3,4.1,2.9,92,0.8
3,4.2,3.1,92,0.8
3,4.2,3.1,92,0.8
2,10.4,9.2,92,0.3
2,10.3,9.3,93,0.3
2,10.2,9.3,94,0.5
2,10.1,9.1,94,1
2,9.8,8.8,93,1.3
2,9.4,8.1,91,1
2,9.2,7.8,91,0.3
3,2.7,0.9,88,0.3
3,2.9,1.2,88,0.3
3,2.6,1,89,0.5
3,2.8,1.1,88,0.5
3,3.6,1.4,86,0.5
3,3.4,1,84,0.5
3,3.1,1,86,0.3
3,2.2,0.1,86,0.3
3,2.2,0.6,89,0.5
3,3,1.2,88,0.8
3,3.2,1.1,86,0.8
3,3.3,1.1,85,0.8
3,3.4,0.8,83,0.8
3,2.7,0.4,85,0.8
3,2.1,0.7,91,1.5
3,1.8,0.5,91,1.5
3,1.7,0.5,92,1.3
3,1.3,0.2,92,1
3,1.5,0.5,93,1
3,1.4,0.4,93,1
3,1.6,0.7,94,0.8
3,1.7,0.7,93,1.5
3,1.8,0.6,92,1.5
3,1.8,0.8,93,1.5
3,1.6,0.6,93,1.5
3,1.7,0.7,93,1.5
3,1.8,0.8,93,1
3,1.6,0.6,93,1
3,1.8,0.8,93,0.8
3,1.3,0.3,93,0
3,1.4,0.4,93,0
3,1.3,0.3,93,0
3,5.3,3.8,90,0.3
3,5.1,3.4,89,0.3
